Rad_sol,FCTRAYSO,solare radiation flux,W/m2/s
Rad_thermal,FCTRAYTH,thermal radiation flux,W/m2/s
U_vturb,TUUVTUR,vertical turbulence tendency of u velocity component,m/s
V_vturb,TVVVTUR,vertical turbulence tendency of v velocity component,m/s
W_vturb,TWWVTUR,vertical turbulence tendency of w velocity component,m/s
CT_vturb,TCTVTUR,vertical turbulence tendency of thermal energy,K
QV_vturb,TQVVTUR,vertical turbulence tendency of water vapour,g/kg
QL_vturb,TQLVTUR,vertical turbulence tendency of cloud water,g/kg
QI_vturb,TQIVTUR,vertical turbulence tendency of cloud ice,g/kg
CT_sconv,TCTSCONV,shallow convection tendency of thermal energy,K
QV_sconv,TQVSCONV,shallow convection tendency of water vapour,g/kg
CT_scdry,TCTSCDRY,shallow convection tendency from dry updraft of temperature,K
CT_scmoist,TCTSCMOIST,shallow convection tendency from moist updraft of temperature,K
QV_scdry,TQVSCDRY,shallow convection tendency from dry updraft of water vapour,g/kg
QV_scmoist,TQVSCMOIST,shallow convection tendency from moist updraft of water vapour,g/kg
CT_micro,TCTMICRO,total microphysical tendency of thermal energy,K
QV_micro,TQVMICRO,total microphysical tendency of water vapour,g/kg
QL_micro,TQLMICRO,total microphysical tendency of cloud water,g/kg
QR_micro,TQRMICRO,total microphysical tendency of rain,g/kg
QI_micro,TQIMICRO,total microphysical tendency of cloud ice,g/kg
QS_micro,TQSMICRO,total microphysical tendency of snow,g/kg
QG_micro,TQGMICRO,total microphysical tendency of graupel,g/kg
CT_up,TCTUP,updraft tendency of thermal energy due to precip,K
QV_up,TQVUP,updraft tendency of water vapour due to precip,g/kg
CT_rad,TCTRAD,radiation tendency of thermal energy,K
U_hturb,TUUHTUR,horizontal turbulence tendency of u velocity component,m/s
V_hturb,TVVHTUR,horizontal turbulence tendency of v velocity component,m/s
W_hturb,TWWHTUR,horizontal turbulence tendency of w velocity component,m/s
CT_hturb,TCTHTUR,horizontal turbulence tendency of thermal energy,K
QV_hturb,TQVHTUR,horizontal turbulence tendency of water vapour,g/kg
QL_hturb,TQLHTUR,horizontal turbulence tendency of cloud water,g/kg
QI_hturb,TQIHTUR,horizontal turbulence tendency of cloud ice,g/kg
CT_nega,TCTNEGA,correction of negative rations after advection (?),K
QV_nega,TQVNEGA,correction of negative rations of water vapour after advection,g/kg
QL_nega,TQLNEGA,correction of negative rations of cloud water after advection,g/kg
QI_nega,TQINEGA,correction of negative rations of cloud ice after advection,g/kg
QG_nega,TQGNEGA,correction of negative rations of grauple after advection,g/kg
QS_nega,TQSNEGA,correction of negative rations of snow after advection,g/kg
QR_nega,TQRNEGA,correction of negative rations of rain after advection,g/kg
QH_nega,TQHNEGA,correction of negative rations of hail after advection,g/kg
CT_adj,TCTADJU,adjustment tendency of thermal energy,K
QV_adj,TQVADJU,adjustment tendency of water vapour,g/kg
QL_adj,TQLADJU,adjustment tendency of cloud water,g/kg
QI_adj,TQIADJU,adjustment tendency of cloud ice,g/kg
QG_adj,TQGADJU,adjustment tendency of grauple,g/kg
QS_adj,TQSADJU,adjustment tendency of snow,g/kg
QR_adj,TQRADJU,adjustment tendency of rain,g/kg
CT_hon,TCTHON_,tendency of thermal energy due to homogeonous nucleation of ice,K
QL_hon,TQLHON_,tendency of cloud water due to homogeonous nucleation of ice,g/kg
QI_hon,TQIHON_,tendency of cloud ice due to homogeonous nucleation of ice,g/kg
CT_hen,TCTHENU,tendency of thermal energy due to heterogeneous nucleation of ice,K
QV_hen,TQVHENU,tendency of water vapour due to homogeonous nucleation of ice,g/kg
QI_hen,TQIHENU,tendency of cloud ice due to homogeonous nucleation of ice,g/kg
CT_sfr,TCTSFR_,tendency of thermal energy due to spontaneous freezing,K
QR_sfr,TQRSFR_,tendency of rain due to spontaneous freezing,g/kg
QG_sfr,TQGSFR_,tendency of grauple due to spontaneous freezing,g/kg
CT_frz,TCTCFRZ,tendency of thermal energy due to contact freezing,K
QR_frz,TQRCFRZ,tendency of rain due to contact freezing,g/kg
QG_frz,TQGCFRZ,tendency of grauple due to contact freezing,g/kg
QI_frz,TQICFRZ,tendency of cloud ice due to contact freezing,g/kg
CT_imlt,TCTIMLT,tendency of thermal energy due to melting ice,K
QL_imlt,TQLIMLT,tendency of cloud water due to melting ice,g/kg
QI_imlt,TQIIMLT,tendency of cloud ice due to melting ice,g/kg
